,playerShort,birthday,height,weight,position,photoID,rater1,rater2,skintone
0,aaron-hughes,08.11.1979,182.0,71.0,Center Back,3868.jpg,0.25,0.0,0.125
1,aaron-hunt,04.09.1986,183.0,73.0,Attacking Midfielder,20136.jpg,0.0,0.25,0.125
2,aaron-lennon,16.04.1987,165.0,63.0,Right Midfielder,13515.jpg,0.25,0.25,0.25
3,aaron-ramsey,26.12.1990,178.0,76.0,Center Midfielder,94953.jpg,0.0,0.0,0.0
4,abdelhamid-el-kaoutari,17.03.1990,180.0,73.0,Center Back,124913.jpg,0.25,0.25,0.25
7,abdou-traore_2,17.01.1988,180.0,74.0,Right Midfielder,102005.jpg,0.75,0.75,0.75
9,abdoulaye-diallo_2,30.03.1992,189.0,80.0,Goalkeeper,158172.jpg,0.75,1.0,0.875
11,abdoulaye-keita_2,19.08.1990,188.0,83.0,Goalkeeper,148612.jpg,0.75,1.0,0.875
13,abdoulwhaid-sissoko,20.03.1990,180.0,68.0,Defensive Midfielder,134483.jpg,1.0,1.0,1.0
14,abdul-rahman-baba,02.07.1994,179.0,70.0,Left Fullback,212277.jpg,0.75,1.0,0.875
15,abdul-razak,11.11.1992,180.0,78.0,Center Midfielder,184560.jpg,1.0,1.0,1.0
16,abel-aguilar,06.01.1985,185.0,78.0,Defensive Midfielder,22987.jpg,0.5,0.25,0.375
18,abelaziz-barrada,19.06.1989,185.0,78.0,,196493.jpg,0.0,0.0,0.0
19,abou-diaby,11.05.1986,188.0,75.0,Center Midfielder,24657.jpg,0.75,0.75,0.75
21,adam-bodzek,07.09.1985,184.0,79.0,Defensive Midfielder,36296.jpg,0.25,0.25,0.25
22,adam-campbell,01.01.1995,168.0,,,219208.jpg,0.0,0.0,0.0
23,adam-federici,31.01.1985,188.0,90.0,Goalkeeper,58477.jpg,0.0,0.0,0.0
24,adam-hlousek,20.12.1988,188.0,76.0,Left Midfielder,54739.jpg,0.0,0.0,0.0
25,adam-johnson,14.07.1987,175.0,62.0,Left Midfielder,31123.jpg,0.0,0.0,0.0
28,adam-morgan,21.04.1994,179.0,,,189486.jpg,0.25,0.25,0.25
29,adam-pinter,12.06.1988,190.0,76.0,Center Back,88754.jpg,0.0,0.0,0.0
30,adam-smith_3,29.04.1991,173.0,73.0,Right Fullback,150651.jpg,0.0,0.0,0.0
31,adam-szalai,09.12.1987,193.0,87.0,Center Forward,53694.jpg,0.25,0.25,0.25
33,adan,13.05.1987,190.0,88.0,Goalkeeper,62091.jpg,0.0,0.0,0.0
34,adel-taarabt,24.05.1989,180.0,78.0,Left Midfielder,59376.jpg,0.25,0.25,0.25
35,adil-rami,27.12.1985,190.0,88.0,Center Back,84412.jpg,0.0,0.25,0.125
36,adrian-colunga,17.11.1984,171.0,69.0,Center Forward,94847.jpg,0.25,0.25,0.25
38,adrian-mutu,08.01.1979,180.0,74.0,Left Winger,7863.jpg,0.25,0.25,0.25
39,adrian_2,08.01.1988,183.0,73.0,Center Forward,66961.jpg,0.25,0.0,0.125
40,adrian_7,21.05.1983,188.0,82.0,Goalkeeper,198614.jpg,0.25,0.25,0.25
41,adriano_24,26.10.1984,172.0,67.0,Left Midfielder,22963.jpg,0.25,0.25,0.25
42,adrien-rabiot,03.04.1995,188.0,71.0,Defensive Midfielder,215118.jpg,0.0,0.0,0.0
45,aduriz,11.02.1981,182.0,78.0,Center Forward,12209.jpg,0.25,0.25,0.25
46,agirretxe,24.02.1987,187.0,77.0,Center Forward,32921.jpg,0.0,0.0,0.0
47,ahmed-kantari,28.06.1985,185.0,78.0,,36844.jpg,0.25,0.25,0.25
48,ahmed-sassi,24.09.1993,179.0,69.0,Attacking Midfielder,193572.jpg,0.5,0.5,0.5
50,alain-traore_2,31.12.1988,176.0,66.0,Left Midfielder,52412.jpg,1.0,1.0,1.0
51,alaixys-romao,18.01.1984,180.0,74.0,Defensive Midfielder,11729.jpg,0.5,0.5,0.5
53,alassane-plea,10.03.1993,180.0,65.0,,200749.jpg,0.75,0.75,0.75
54,albelda,01.09.1977,181.0,77.0,Defensive Midfielder,1395.jpg,0.25,0.25,0.25
56,alberto-botia,27.01.1989,186.0,82.0,Center Back,143593.jpg,0.0,0.25,0.125
57,alberto-perea,19.12.1990,177.0,68.0,,176704.jpg,0.25,0.25,0.25
59,alejandro-alonso,03.03.1982,170.0,68.0,Right Midfielder,36825.jpg,0.25,0.0,0.125
60,alejandro-dominguez_2,10.06.1981,175.0,73.0,Right Winger,19389.jpg,0.25,0.25,0.25
62,aleksandar-ignjovski,27.01.1991,175.0,68.0,Defensive Midfielder,139672.jpg,0.25,0.25,0.25
63,aleksandar-kolarov,10.11.1985,187.0,80.0,Left Fullback,47704.jpg,0.0,0.25,0.125
64,aleksandar-stevanovic,16.02.1992,175.0,65.0,,174218.jpg,0.25,0.25,0.25
65,alex-lopez,11.01.1988,174.0,66.0,Center Midfielder,166498.jpg,0.25,0.25,0.25
67,alex-nimely-tchuimeni,11.05.1991,180.0,72.0,Center Forward,154590.jpg,0.75,1.0,0.875
68,alex-oxlade-chamberlain,15.08.1993,180.0,70.0,,162425.jpg,0.5,0.5,0.5
71,alex-rubio,23.07.1993,185.0,77.0,Center Forward,220450.jpg,0.25,0.0,0.125
72,alex-smith_6,31.10.1991,175.0,54.0,,190538.jpg,0.5,0.5,0.5
73,alex-song,09.09.1987,182.0,74.0,Defensive Midfielder,24160.jpg,1.0,1.0,1.0
74,alex_17,15.10.1992,180.0,68.0,Center Midfielder,182060.jpg,0.0,0.0,0.0
75,alex_4,17.06.1982,188.0,92.0,Center Back,21420.jpg,0.5,0.5,0.5
76,alexander-buettner,11.02.1989,174.0,75.0,Left Fullback,109609.jpg,0.25,0.25,0.25
77,alexander-esswein,25.03.1990,183.0,85.0,Left Winger,97857.jpg,0.0,0.25,0.125
78,alexander-hien,03.04.1993,183.0,72.0,Defensive Midfielder,173521.jpg,0.0,0.0,0.0
80,alexander-madlung,11.07.1982,193.0,92.0,Center Back,4833.jpg,0.0,0.0,0.0
81,alexander-manninger,04.06.1977,188.0,83.0,Goalkeeper,7473.jpg,0.0,0.25,0.125
82,alexander-meier,17.01.1983,196.0,84.0,Attacking Midfielder,2226.jpg,0.0,0.0,0.0
83,alexander-ndoumbou,04.01.1992,174.0,70.0,,159121.jpg,0.25,0.5,0.375
84,alexander-ring,09.04.1991,173.0,72.0,Right Midfielder,169432.jpg,0.0,0.0,0.0
85,alexander-schwolow,02.06.1992,189.0,83.0,Goalkeeper,173576.jpg,0.0,0.25,0.125
86,alexander-tettey,04.04.1986,180.0,68.0,Defensive Midfielder,22356.jpg,1.0,1.0,1.0
87,alexandre-alphonse,17.06.1982,176.0,70.0,Right Winger,40013.jpg,0.5,0.75,0.625
88,alexandre-lacazette,28.05.1991,174.0,73.0,Center Forward,165182.jpg,0.75,0.75,0.75
90,alexis,04.08.1985,183.0,80.0,Center Back,24778.jpg,0.0,0.0,0.0
91,alexis-sanchez,19.12.1988,170.0,73.0,Right Winger,50628.jpg,0.5,0.25,0.375
93,alfaro_2,23.11.1986,175.0,73.0,Attacking Midfielder,48545.jpg,0.25,0.25,0.25
94,alhassane-bangoura,30.09.1992,174.0,68.0,Right Midfielder,183429.jpg,1.0,1.0,1.0
98,aliosman-aydin,06.02.1992,178.0,77.0,,174688.jpg,0.0,0.0,0.0
99,allan-nyom,10.05.1988,186.0,81.0,,172194.jpg,0.75,0.75,0.75
