playerShort,birthday,height,weight,position,photoID,rater1,rater2
aaron-hughes,08.11.1979,182.0,71.0,Center Back,3868.jpg,0.25,0.0
aaron-hunt,04.09.1986,183.0,73.0,Attacking Midfielder,20136.jpg,0.0,0.25
aaron-lennon,16.04.1987,165.0,63.0,Right Midfielder,13515.jpg,0.25,0.25
aaron-ramsey,26.12.1990,178.0,76.0,Center Midfielder,94953.jpg,0.0,0.0
abdelhamid-el-kaoutari,17.03.1990,180.0,73.0,Center Back,124913.jpg,0.25,0.25
abdon-prats,17.12.1992,181.0,79.0,,,,
abdou-dampha,27.12.1991,184.0,74.0,Attacking Midfielder,,,
abdou-traore_2,17.01.1988,180.0,74.0,Right Midfielder,102005.jpg,0.75,0.75
abdoul-camara,20.02.1990,177.0,70.0,Left Winger,,,
abdoulaye-diallo_2,30.03.1992,189.0,80.0,Goalkeeper,158172.jpg,0.75,1.0
abdoulaye-diallo_3,28.12.1990,182.0,75.0,Attacking Midfielder,,,
abdoulaye-keita_2,19.08.1990,188.0,83.0,Goalkeeper,148612.jpg,0.75,1.0
abdoulaye-sane,15.10.1992,184.0,72.0,Right Winger,,,
abdoulwhaid-sissoko,20.03.1990,180.0,68.0,Defensive Midfielder,134483.jpg,1.0,1.0
abdul-rahman-baba,02.07.1994,179.0,70.0,Left Fullback,212277.jpg,0.75,1.0
abdul-razak,11.11.1992,180.0,78.0,Center Midfielder,184560.jpg,1.0,1.0
abel-aguilar,06.01.1985,185.0,78.0,Defensive Midfielder,22987.jpg,0.5,0.25
abel-khaled,09.11.1992,179.0,,,,,
abelaziz-barrada,19.06.1989,185.0,78.0,,196493.jpg,0.0,0.0
abou-diaby,11.05.1986,188.0,75.0,Center Midfielder,24657.jpg,0.75,0.75
aboulaye-keita,05.01.1994,175.0,75.0,,,,
adam-bodzek,07.09.1985,184.0,79.0,Defensive Midfielder,36296.jpg,0.25,0.25
adam-campbell,01.01.1995,168.0,,,219208.jpg,0.0,0.0
adam-federici,31.01.1985,188.0,90.0,Goalkeeper,58477.jpg,0.0,0.0
adam-hlousek,20.12.1988,188.0,76.0,Left Midfielder,54739.jpg,0.0,0.0
adam-johnson,14.07.1987,175.0,62.0,Left Midfielder,31123.jpg,0.0,0.0
adam-lallana,10.05.1988,173.0,73.0,,,,
adam-le-fondre,02.12.1986,180.0,73.0,,,,
adam-morgan,21.04.1994,179.0,,,189486.jpg,0.25,0.25
